Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
132.Bercea Anisoara  ,  figuran ,  human , anything , 
132.Breban Vasile  ,  figuran ,  human , vegetarian , 
132.Apostol Laurentiu  ,  figuran ,  mermaid , vegetarian , 
132.Brătescu Anica  ,  figuran ,  human , flexitarian , 
132.Alexi Adelin  ,  figuran ,  seer , vegetarian , 
132.Ardelean Cezar  ,  figuran ,  seer , anything , 
132.Anghelescu Maria  ,  figuran ,  mermaid , vegetarian , 
132.Bejenaru Liviu  ,  figuran ,  werewolf , anything , 
132.Blaga  Pavel  ,  figuran ,  vampire , anything , 
132.Basarabeanu Ioan  ,  figuran ,  seer , flexitarian , 
132.Antonescu Constanta  ,  figuran ,  werewolf , vegetarian , 
132.Bichineț Bujor  ,  figuran ,  mermaid , flexitarian , 
132.Antal Adrian  ,  figuran ,  seer , anything , 
132.Budeanu Mariana  ,  figuran ,  werewolf , vegetarian , 
132.Băsescu  Grigore  ,  figuran ,  human , anything , 
132.Brediceanu Cornel  ,  figuran ,  human , vegetarian , 
132.Botnari Cecilia  ,  figuran ,  vampire , anything , 
132.Adameșteanu Denisa  ,  figuran ,  werewolf , flexitarian , 
132.Athanasiu Luiza  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Liviu  ,  figuran ,  human , anything , 
132.Bălțat Diana  ,  figuran ,  vampire , vegetarian , 
132.Ardelean Martin  ,  figuran ,  werewolf , flexitarian , 
132.Brătianu Felix  ,  figuran ,  vampire , anything , 
132.Valisescu Petre  ,  figuran ,  mermaid , anything , 
132.Brânzeu Leon  ,  figuran ,  human , vegetarian , 
132.Popescu Lazar  ,  figuran ,  werewolf , vegetarian , 
132.Berghianu Laur  ,  figuran ,  mermaid , vegetarian , 
132.Brânzan Anghel  ,  figuran ,  mermaid , anything , 
132.Bălăceanu Cosmin  ,  figuran ,  human , flexitarian , 
132.Arnăuțoiu Luca  ,  figuran ,  werewolf , flexitarian , 
132.Budeanu Oana  ,  figuran ,  vampire , anything , 
132.Brâncoveanu  Eduard  ,  figuran ,  werewolf , vegetarian , 
132.Baghiu Anisoara  ,  figuran ,  vampire , vegetarian , 
132.Anghelescu David  ,  figuran ,  vampire , flexitarian , 
132.Antonescu Constantin  ,  figuran ,  vampire , anything , 
132.Brașoveanu Antonia  ,  figuran ,  seer , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  seer , flexitarian , 
132.Bibescu Arsenie  ,  figuran ,  human , vegetarian , 
132.Bizău Elena  ,  figuran ,  vampire , flexitarian , 
132.Alexandrescu Norbert  ,  figuran ,  seer , anything , 
132.Averescu  Dionisie  ,  figuran ,  mermaid , vegetarian , 
132.Baconsky Laurentiu  ,  figuran ,  werewolf , anything , 
132.Aldulescu Craciun  ,  figuran ,  seer , flexitarian , 
132.Apetrei Irina  ,  figuran ,  werewolf , vegetarian , 
132.Balanici Dan  ,  figuran ,  human , vegetarian , 
132.Amânar Stefan  ,  figuran ,  werewolf , flexitarian , 
132.Bănățeanu Aniela  ,  figuran ,  vampire , flexitarian , 
132.Angelescu Barbu  ,  figuran ,  human , vegetarian , 
132.Arnăutu Sorina  ,  figuran ,  human , vegetarian , 
132.Antoci Dimitrie  ,  figuran ,  seer , vegetarian , 
132.Dumitrescu Ileana  ,  figuran ,  mermaid , vegetarian , 
132.Beclean  Filoftea  ,  figuran ,  human , anything , 
132.Brînzan Felicia  ,  figuran ,  mermaid , vegetarian , 
132.Broșteanu Calin  ,  figuran ,  vampire , flexitarian , 
132.Baconschi Laurentiu  ,  figuran ,  human , flexitarian , 
132.Brătianu Adelin  ,  figuran ,  human , flexitarian , 
132.Bădulescu Denisa  ,  figuran ,  mermaid , anything , 
132.Baconsky Anghel  ,  figuran ,  human , vegetarian , 
132.Braghiș Anghel  ,  figuran ,  seer , vegetarian , 
132.Bodnăraș Cosmin  ,  figuran ,  mermaid , vegetarian , 
132.Bozgă Raluca  ,  figuran ,  vampire , flexitarian , 
132.Bibescu George  ,  figuran ,  seer , flexitarian , 
132.Armășescu Eduard  ,  figuran ,  human , flexitarian , 
132.Bosînceanu Ciprian  ,  figuran ,  vampire , anything , 
132.Bujo Anton  ,  figuran ,  human , vegetarian , 
132.Barzin Iosif  ,  figuran ,  werewolf , anything , 
132.Boteanu Costel  ,  figuran ,  human , flexitarian , 
132.Brânzeu David  ,  figuran ,  werewolf , anything , 
132.Florescu Sebastian  ,  figuran ,  seer , vegetarian , 
132.Bodnăraș Lidia  ,  figuran ,  human , vegetarian , 
132.Baracci Gheorghe  ,  figuran ,  vampire , vegetarian , 
132.Bănică Iosif  ,  figuran ,  werewolf , vegetarian , 
132.Becali Ionuț  ,  figuran ,  vampire , vegetarian , 
132.Bodiul Ilie  ,  figuran ,  human , anything , 
132.Bosînceanu Dochia  ,  figuran ,  human , anything , 
132.Georgescu Benone  ,  figuran ,  seer , flexitarian , 
132.Bodiul Matei  ,  figuran ,  seer , anything , 
132.Apostoleanu Constanta  ,  figuran ,  werewolf , flexitarian , 
132.Armășescu Fanurie  ,  figuran ,  werewolf , anything , 
132.Buhuș Pavel  ,  figuran ,  werewolf , flexitarian , 
132.Balanici Benone  ,  figuran ,  mermaid , vegetarian , 
132.Bercu David  ,  figuran ,  seer , flexitarian , 
132.Armășescu Lucretiu  ,  figuran ,  seer , vegetarian , 
132.Asachi Aurica  ,  figuran ,  werewolf , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  seer , anything , 
132.Albulescu Anca  ,  figuran ,  werewolf , vegetarian , 
132.Baconski  Ileana  ,  figuran ,  seer , vegetarian , 
132.Baconsky Iustin  ,  figuran ,  werewolf , anything , 
132.Adameșteanu Denis  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Marius  ,  figuran ,  human , anything , 
132.Băsescu  Apostol  ,  figuran ,  werewolf , flexitarian , 
132.Braghiș Adam  ,  figuran ,  seer , flexitarian , 
132.Botnaru Alex  ,  figuran ,  human , flexitarian , 
132.Buhuș Gratiela  ,  figuran ,  seer , flexitarian , 
132.Bârloiu Magdalena  ,  figuran ,  human , flexitarian , 
132.Bordea Anisoara  ,  figuran ,  mermaid , anything , 
132.Almășan Teodor  ,  figuran ,  mermaid , flexitarian , 
132.Barcianu  Decebal  ,  figuran ,  mermaid , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  seer , vegetarian , 
132.Bărbuceanu Aurica  ,  figuran ,  werewolf , vegetarian , 
132.Bălănescu Doina  ,  figuran ,  human , flexitarian , 
132.Almaș Bujor  ,  figuran ,  human , flexitarian , 
132.Bătrîneanu Petre  ,  figuran ,  human , anything , 
132.Barzin Angelica  ,  figuran ,  vampire , anything , 
132.Belimace Aniela  ,  figuran ,  werewolf , anything , 
132.Bozga Matei  ,  figuran ,  mermaid , flexitarian , 
132.Asachi Dochia  ,  figuran ,  seer , flexitarian , 
132.Bozga Georgeta  ,  figuran ,  mermaid , vegetarian , 
132.Bănulescu Bujor  ,  figuran ,  human , flexitarian , 
132.Brudașcu Oscar  ,  figuran ,  vampire , flexitarian , 
132.Bărboianu Geanina  ,  figuran ,  seer , flexitarian , 
132.Bârlădeanu Luchian  ,  figuran ,  human , flexitarian , 
132.Bârloiu Decebal  ,  figuran ,  seer , flexitarian , 
132.Borăscu Andreea  ,  figuran ,  werewolf , anything , 
132.Băsescu  Ioachim  ,  figuran ,  seer , vegetarian , 
132.Botnari Valeriu  ,  figuran ,  seer , flexitarian , 
132.Andronic Dumitru  ,  figuran ,  vampire , vegetarian , 
132.Bîrloiu Sebastian  ,  figuran ,  human , flexitarian , 
132.Andreoiu Adrian  ,  figuran ,  vampire , flexitarian , 
132.Bizău Gabriela  ,  figuran ,  seer , vegetarian , 
132.Albulescu Benone  ,  figuran ,  vampire , flexitarian , 
132.Bădărău Eugenia  ,  figuran ,  werewolf , flexitarian , 
132.Bratu Dumitru  ,  figuran ,  seer , flexitarian , 
132.Apostu Valeriu  ,  figuran ,  werewolf , vegetarian , 
132.Bîrloiu Andreea  ,  figuran ,  mermaid , anything , 
132.Ionescu Gabriel  ,  figuran ,  werewolf , flexitarian , 
132.Argeșanu Gheorghe  ,  figuran ,  vampire , vegetarian , 
132.Barbu Amalia  ,  figuran ,  werewolf , flexitarian , 
132.Buhagiar Costel  ,  figuran ,  seer , anything , 
132.Ardeleanu David  ,  figuran ,  human , anything , 
132.Bozgă Cristofor  ,  figuran ,  human , anything , 
132.Athanasiu Teodosie  ,  figuran ,  werewolf , anything , 
132.Bonciu Dan  ,  figuran ,  vampire , anything , 
132.Alexa  Adrian  ,  figuran ,  mermaid , flexitarian , 
132.Brezeanu Valentin  ,  figuran ,  mermaid , anything , 
132.Bănică Gratiela  ,  figuran ,  werewolf , anything , 
132.Negoita Zahari  ,  figuran ,  werewolf , flexitarian , 
132.Aman Ionuț  ,  figuran ,  seer , anything , 
132.Grigorescu Sorina  ,  figuran ,  seer , flexitarian , 
132.Buhuș Florica  ,  figuran ,  seer , vegetarian , 
132.Bujo Anisoara  ,  figuran ,  mermaid , anything , 
132.Bechet  Madalin  ,  figuran ,  werewolf , vegetarian , 
132.Brâncuși  Laur  ,  figuran ,  werewolf , vegetarian , 
132.Balanici Ilarie  ,  figuran ,  vampire , vegetarian , 
132.Athanasiu Grigore  ,  figuran ,  seer , flexitarian , 
132.Agaparian Manole  ,  figuran ,  vampire , flexitarian , 
132.Alexe Anica  ,  figuran ,  human , anything , 
132.Băsescu  Anca  ,  figuran ,  seer , vegetarian , 
132.Alexe Flavia  ,  figuran ,  human , vegetarian , 
132.Andronic Lucretiu  ,  figuran ,  human , anything , 
132.Brătescu Eusebiu  ,  figuran ,  seer , flexitarian , 
132.Boteanu Damian  ,  figuran ,  seer , anything , 
132.Almășan Benjamin  ,  figuran ,  vampire , vegetarian , 
132.Băsescu  Matei  ,  figuran ,  human , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  mermaid , flexitarian , 
132.Argeșanu Brandusa  ,  figuran ,  vampire , vegetarian , 
132.Brătescu Anisoara  ,  figuran ,  seer , vegetarian , 
132.Anghelache Camelia  ,  figuran ,  mermaid , vegetarian , 
132.Brumaru Martin  ,  figuran ,  seer , vegetarian , 
132.Popescu Iurie  ,  figuran ,  human , vegetarian , 
132.Andronic Laur  ,  figuran ,  human , vegetarian , 
132.Aldulescu Aniela  ,  figuran ,  mermaid , vegetarian , 
132.Antoci Ancuta  ,  figuran ,  mermaid , vegetarian , 
132.Bega  Anisoara  ,  figuran ,  vampire , vegetarian , 
132.Bălan Anghel  ,  figuran ,  seer , vegetarian , 
132.Aldulescu Spiridon  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Vasile  ,  figuran ,  mermaid , flexitarian , 
132.Breban Angelica  ,  figuran ,  vampire , anything , 
132.Apostoleanu Benone  ,  figuran ,  human , anything , 
132.Basarabeanu Denis  ,  figuran ,  vampire , vegetarian , 
132.Baconsky Ioana  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Basarab  ,  figuran ,  human , vegetarian , 
132.Stanescu Ghita  ,  figuran ,  mermaid , flexitarian , 
132.Adamache Efrem  ,  figuran ,  mermaid , flexitarian , 
132.Bîrloiu Apostol  ,  figuran ,  werewolf , flexitarian , 
132.Apostoleanu Anton  ,  figuran ,  werewolf , flexitarian , 
132.Brateș Felix  ,  figuran ,  human , vegetarian , 
132.Brenduș Filip  ,  figuran ,  werewolf , vegetarian , 
132.Băloșescu Cazimir  ,  figuran ,  vampire , flexitarian , 
132.Aman Augustina  ,  figuran ,  vampire , anything , 
132.Besoiu Cecilia  ,  figuran ,  vampire , flexitarian , 
132.Botezan Alin  ,  figuran ,  seer , flexitarian , 
132.Bechet  Bartolomeu  ,  figuran ,  seer , anything , 
132.Alifantis Dan  ,  figuran ,  werewolf , anything , 
132.Bazon Stefan  ,  figuran ,  mermaid , anything , 
132.Brateș Adam  ,  figuran ,  werewolf , anything , 
132.Almășan Aurora  ,  figuran ,  werewolf , flexitarian , 
132.Andreoiu Andreea  ,  figuran ,  mermaid , vegetarian , 
132.Brediceanu Gheorghe  ,  figuran ,  werewolf , vegetarian , 
132.Botnaru Anca  ,  figuran ,  vampire , anything , 
132.Popescu Ioachim  ,  figuran ,  seer , anything , 
132.Brânzeu Doina  ,  figuran ,  werewolf , flexitarian , 
132.Bârloiu Ciprian  ,  figuran ,  werewolf , vegetarian , 
132.Bizău Laur  ,  figuran ,  seer , vegetarian , 
132.Berghianu Dionisie  ,  figuran ,  mermaid , vegetarian , 
132.Bănică Mariana  ,  figuran ,  mermaid , flexitarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  werewolf , flexitarian , 
132.Basarabeanu Oscar  ,  figuran ,  werewolf , anything , 
132.Avramescu Anton  ,  figuran ,  vampire , flexitarian , 
132.Arnautu Camil  ,  figuran ,  vampire , anything , 
132.Alexandrescu Martin  ,  figuran ,  human , flexitarian , 
132.Alexi Fanurie  ,  figuran ,  vampire , anything , 
132.Bârlădeanu Dionisie  ,  figuran ,  werewolf , vegetarian , 
132.Bodiu Loredana  ,  figuran ,  seer , flexitarian , 
132.Ardeleanu Andrei  ,  figuran ,  human , anything , 
132.Banciu  Irina  ,  figuran ,  seer , flexitarian , 
132.Berghianu Stefan  ,  figuran ,  vampire , anything , 
132.Brateș Leon  ,  figuran ,  mermaid , vegetarian , 
132.Bănulescu Mihail  ,  figuran ,  mermaid , vegetarian , 
132.Bosânceanu Liviu  ,  figuran ,  mermaid , anything , 
132.Bărboianu Vasile  ,  figuran ,  mermaid , vegetarian , 
132.Bozgă Lucretiu  ,  figuran ,  werewolf , anything , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  vampire , flexitarian , 
132.Botean Emilian  ,  figuran ,  werewolf , flexitarian , 
132.Bodescu Laura  ,  figuran ,  human , anything , 
132.Bălțat Liviu  ,  figuran ,  werewolf , anything , 
132.Buhagiar Maria  ,  figuran ,  human , flexitarian , 
132.Budescu Geta  ,  figuran ,  seer , flexitarian , 
132.Argeșanu Ion  ,  figuran ,  human , flexitarian , 
132.Badea Cosmin  ,  figuran ,  vampire , vegetarian , 
132.Begu Adriana  ,  figuran ,  mermaid , flexitarian , 
132.Angelescu Eugen  ,  figuran ,  mermaid , anything , 
132.Bârcă Petre  ,  figuran ,  mermaid , anything , 
132.Albulescu Anisoara  ,  figuran ,  human , anything , 
132.Bichineț Denisa  ,  figuran ,  werewolf , vegetarian , 
132.Borcea Razvan  ,  figuran ,  werewolf , flexitarian , 
132.Botezan Efrem  ,  figuran ,  human , flexitarian , 
132.Barzin Adam  ,  figuran ,  seer , anything , 
132.Bengescu Benjamin  ,  figuran ,  vampire , anything , 
132.Bătrîneanu Mihai  ,  figuran ,  human , flexitarian , 
132.Bosânceanu Aurelia  ,  figuran ,  human , vegetarian , 
132.Bănulescu Cristina  ,  figuran ,  werewolf , vegetarian , 
132.Brediceanu Gratiela  ,  figuran ,  vampire , anything , 
132.Bereș Filoftea  ,  figuran ,  seer , flexitarian , 
132.Bărbuceanu Mariana  ,  figuran ,  vampire , anything , 
132.Agârbiceanu Teodosie  ,  figuran ,  werewolf , flexitarian , 
132.Brânzeu Lucretia  ,  figuran ,  human , flexitarian , 
132.Bodescu Mariana  ,  figuran ,  werewolf , vegetarian , 
132.Adoc Dionisie  ,  figuran ,  human , vegetarian , 
132.Bujo Augustina  ,  figuran ,  vampire , vegetarian , 
132.Bogza Pavel  ,  figuran ,  human , vegetarian , 
132.Armășescu Basarab  ,  figuran ,  human , flexitarian , 
132.Bodescu Laura  ,  figuran ,  werewolf , vegetarian , 
132.Brâncuși  Dochia  ,  figuran ,  werewolf , anything , 
132.Aman Iacob  ,  figuran ,  seer , flexitarian , 
132.Adamache Ionuț  ,  figuran ,  vampire , vegetarian , 
132.Borcea Loredana  ,  figuran ,  human , vegetarian , 
132.Adamache Ruxandra  ,  figuran ,  werewolf , vegetarian , 
132.Arnăutu Nicolai  ,  figuran ,  seer , vegetarian , 
132.Antoci Grigore  ,  figuran ,  vampire , anything , 
132.Boroianu Aurelia  ,  figuran ,  human , flexitarian , 
132.Bârlădeanu Stefan  ,  figuran ,  seer , anything , 
132.Dumitrescu Pavel  ,  figuran ,  human , flexitarian , 
132.Baconski  Dimitrie  ,  figuran ,  seer , flexitarian , 
132.Boștină Vladimir  ,  figuran ,  mermaid , anything , 
132.Bălănescu Mariana  ,  figuran ,  seer , anything , 
132.Barbu Ileana  ,  figuran ,  human , flexitarian , 
132.Bordea Andrei  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Benedict  ,  figuran ,  werewolf , vegetarian , 
132.Breban Damian  ,  figuran ,  werewolf , vegetarian , 
132.Bărboianu Loredana  ,  figuran ,  human , flexitarian , 
132.Barcianu  Georgeta  ,  figuran ,  vampire , flexitarian , 
132.Andone Luciana  ,  figuran ,  human , flexitarian , 
132.Brumaru Lazar  ,  figuran ,  werewolf , vegetarian , 
132.Budescu Liliana  ,  figuran ,  human , flexitarian , 
132.Bercea Doru  ,  figuran ,  human , anything , 
132.Brânzeu Luminita  ,  figuran ,  seer , vegetarian , 
132.Adamescu Manuel  ,  figuran ,  mermaid , vegetarian , 
132.Aman Anica  ,  figuran ,  seer , anything , 
132.Bercu Lucretiu  ,  figuran ,  mermaid , anything , 
132.Barbu Horia  ,  figuran ,  vampire , anything , 
132.Andone Manuela  ,  figuran ,  mermaid , flexitarian , 
132.Balanici Norbert  ,  figuran ,  human , anything , 
132.Bârloiu Emilian  ,  figuran ,  mermaid , vegetarian , 
132.Arnautu Ciprian  ,  figuran ,  seer , flexitarian , 
132.Bereș Nicolae  ,  figuran ,  human , flexitarian , 
132.Baghiu Serban  ,  figuran ,  mermaid , anything , 
132.Valisescu Dimitrie  ,  figuran ,  werewolf , anything , 
132.Baicu Leon  ,  figuran ,  vampire , anything , 
132.Agârbiceanu Cornel  ,  figuran ,  mermaid , anything , 
132.Brâncoveanu  Benedict  ,  figuran ,  seer , anything , 
132.Boteanu Carmen  ,  figuran ,  human , anything , 
132.Budeanu Stefan  ,  figuran ,  seer , vegetarian , 
132.Argetoianu Eduard  ,  figuran ,  mermaid , flexitarian , 
132.Berindei  Augustina  ,  figuran ,  human , anything , 
132.Bosânceanu Andreea  ,  figuran ,  mermaid , vegetarian , 
132.Botnaru Teodor  ,  figuran ,  vampire , anything , 
132.Bănică Teodosie  ,  figuran ,  vampire , vegetarian , 
132.Becșenescu Magdalena  ,  figuran ,  seer , anything , 
132.Blaga  Leon  ,  figuran ,  mermaid , flexitarian , 
132.Badea Ilie  ,  figuran ,  werewolf , flexitarian , 
132.Bizău Grigore  ,  figuran ,  mermaid , anything , 
132.Brateș Marian  ,  figuran ,  vampire , flexitarian , 
132.Badea Eugen  ,  figuran ,  seer , flexitarian , 
132.Băloșescu Cristofor  ,  figuran ,  werewolf , vegetarian , 
132.Bacalbașa Lucretia  ,  figuran ,  human , vegetarian , 
132.Antonescu Cristina  ,  figuran ,  werewolf , anything , 
132.Baconsky Felicia  ,  figuran ,  mermaid , anything , 
132.Bădescu Matei  ,  figuran ,  seer , anything , 
132.Bizău Cezar  ,  figuran ,  werewolf , vegetarian , 
132.Brudașcu Alexie  ,  figuran ,  mermaid , flexitarian , 
132.Brătescu Marilena  ,  figuran ,  vampire , flexitarian , 
132.Boteanu Decebal  ,  figuran ,  human , flexitarian , 
132.Negoita Ion  ,  figuran ,  vampire , anything , 
132.Buhagiar Zahari  ,  figuran ,  mermaid , vegetarian , 
132.Budescu Antoaneta  ,  figuran ,  werewolf , vegetarian , 
132.Botezan Nicolae  ,  figuran ,  human , flexitarian , 
132.Bărbuceanu Augustina  ,  figuran ,  human , anything , 
132.Albu  Doina  ,  figuran ,  vampire , vegetarian , 
132.Berghianu Nicolai  ,  figuran ,  human , anything , 
132.Bacalbașa Camelia  ,  figuran ,  human , vegetarian , 
132.Andone Dimitrie  ,  figuran ,  human , vegetarian , 
132.Barzin Geta  ,  figuran ,  werewolf , flexitarian , 
132.Bărbuceanu Lidia  ,  figuran ,  werewolf , flexitarian , 
132.Bălănescu Magdalena  ,  figuran ,  seer , vegetarian , 
132.Bucurescu Haralambie  ,  figuran ,  seer , anything , 
132.Alexandrescu Cristian  ,  figuran ,  werewolf , anything , 
132.Belimace Mihaela  ,  figuran ,  human , flexitarian , 
132.Brănescu Alin  ,  figuran ,  seer , vegetarian , 
132.Anton  Matei  ,  figuran ,  human , vegetarian , 
132.Albu  Luminita  ,  figuran ,  seer , vegetarian , 
132.Brânzeu Fanurie  ,  figuran ,  mermaid , vegetarian , 
132.Apostol Vladimir  ,  figuran ,  human , anything , 
132.Buia Vitalie  ,  figuran ,  seer , anything , 
132.Anghel Carmen  ,  figuran ,  vampire , vegetarian , 
132.Apostu Anca  ,  figuran ,  werewolf , vegetarian , 
132.Bizău Fanurie  ,  figuran ,  mermaid , vegetarian , 
132.Botnaru Vitalie  ,  figuran ,  mermaid , anything , 
132.Baciu Cristina  ,  figuran ,  werewolf , vegetarian , 
132.Boteanu Emil  ,  figuran ,  vampire , flexitarian , 
132.Brâncoveanu  Felix  ,  figuran ,  human , vegetarian , 
132.Borăscu Stelian  ,  figuran ,  vampire , vegetarian , 
132.Budeanu Diana  ,  figuran ,  seer , vegetarian , 
132.Baicu Ioachim  ,  figuran ,  werewolf , anything , 
132.Balauru Anton  ,  figuran ,  vampire , vegetarian , 
132.Bacalbașa David  ,  figuran ,  werewolf , vegetarian , 
132.Brateș Andrei  ,  figuran ,  seer , flexitarian , 
132.Botnaru Damian  ,  figuran ,  human , flexitarian , 
132.Apetrei Dan  ,  figuran ,  vampire , flexitarian , 
132.Andone Dumitru  ,  figuran ,  human , anything , 
132.Bozga Barbu  ,  figuran ,  vampire , anything , 
132.Bădărău Stefan  ,  figuran ,  human , anything , 
132.Becali Laurentiu  ,  figuran ,  mermaid , vegetarian , 
132.Bănățeanu Ghita  ,  figuran ,  mermaid , flexitarian , 
132.Bazon Emil  ,  figuran ,  seer , flexitarian , 
132.Barna Constanta  ,  figuran ,  seer , flexitarian , 
132.Baconsky Diana  ,  figuran ,  vampire , flexitarian , 
132.Benga Oana  ,  figuran ,  human , flexitarian , 
132.Stanescu Stelian  ,  figuran ,  mermaid , flexitarian , 
132.Bozgă Neculai  ,  figuran ,  seer , anything , 
132.Alexandrescu Ion  ,  figuran ,  vampire , anything , 
132.Bercu Valeriu  ,  figuran ,  seer , flexitarian , 
132.Bonciu Marian  ,  figuran ,  seer , vegetarian , 
132.Bodnăraș Mihaela  ,  figuran ,  human , anything , 
132.Bercu Emilian  ,  figuran ,  human , anything , 
132.Botezan Luchian  ,  figuran ,  human , flexitarian , 
132.Alexandrescu Luciana  ,  figuran ,  seer , vegetarian , 
132.Badea Aurelia  ,  figuran ,  seer , flexitarian , 
132.Balauru Ioachim  ,  figuran ,  vampire , flexitarian , 
132.Brateș Stefan  ,  figuran ,  human , flexitarian , 
132.Balanici Ilie  ,  figuran ,  vampire , anything , 
132.Georgescu Anca  ,  figuran ,  werewolf , anything , 
132.Stanescu Dionisie  ,  figuran ,  human , anything , 
132.Albu  Matei  ,  figuran ,  human , flexitarian , 
132.Adamescu Ciprian  ,  figuran ,  seer , vegetarian , 
132.Bozga Fanurie  ,  figuran ,  werewolf , flexitarian , 
132.Bârcă Ruxandra  ,  figuran ,  vampire , vegetarian , 
132.Bîrloiu Madalina  ,  figuran ,  seer , flexitarian , 
132.Athanasiu Eugen  ,  figuran ,  seer , vegetarian , 
132.Brenduș Marin  ,  figuran ,  seer , anything , 
132.Bîrloiu Manuela  ,  figuran ,  werewolf , flexitarian , 
132.Bozga Iosif  ,  figuran ,  human , vegetarian , 
132.Bucur  Basarab  ,  figuran ,  mermaid , vegetarian , 
132.Bîrlea Ancuta  ,  figuran ,  seer , vegetarian , 
132.Bizău Doru  ,  figuran ,  mermaid , vegetarian , 
132.Grigorescu Oana  ,  figuran ,  werewolf , flexitarian , 
132.Bercea Amalia  ,  figuran ,  werewolf , vegetarian , 
132.Bechet  Iolanda  ,  figuran ,  vampire , anything , 
132.Agaparian Petre  ,  figuran ,  seer , vegetarian , 
132.Anghelache Raluca  ,  figuran ,  vampire , flexitarian , 
132.Dumitrescu Elena  ,  figuran ,  vampire , anything , 
132.Brumaru Adelin  ,  figuran ,  human , vegetarian , 
132.Anghelache Gabriela  ,  figuran ,  seer , flexitarian , 
132.Balauru Petru  ,  figuran ,  human , vegetarian , 
132.Bănățeanu Damian  ,  figuran ,  mermaid , vegetarian , 
132.Florescu Marius  ,  figuran ,  human , flexitarian , 
132.Albu  Adriana  ,  figuran ,  werewolf , vegetarian , 
132.Bălănescu Diana  ,  figuran ,  mermaid , flexitarian , 
132.Bosânceanu Costel  ,  figuran ,  mermaid , anything , 
132.Alexa  Adelin  ,  figuran ,  werewolf , anything , 
132.Barna Daniel  ,  figuran ,  seer , flexitarian , 
132.Budeanu Ioan  ,  figuran ,  mermaid , vegetarian , 
132.Beclean  Nectarie  ,  figuran ,  seer , anything , 
132.Andoni Serban  ,  figuran ,  werewolf , flexitarian , 
132.Begu Oana  ,  figuran ,  vampire , vegetarian , 
132.Bătrîneanu Luchian  ,  figuran ,  seer , vegetarian , 
132.Botnari Angelica  ,  figuran ,  human , vegetarian , 
132.Bănulescu Ioachim  ,  figuran ,  vampire , vegetarian , 
132.Barcianu  Lacramioara  ,  figuran ,  human , vegetarian , 
132.Brumaru Ioachim  ,  figuran ,  werewolf , flexitarian , 
132.Bechet  Damian  ,  figuran ,  vampire , flexitarian , 
132.Adameșteanu Luiza  ,  figuran ,  vampire , anything , 
132.Bratu Anca  ,  figuran ,  vampire , anything , 
132.Albulescu Basarab  ,  figuran ,  mermaid , flexitarian , 
132.Bălănescu Nicolae  ,  figuran ,  human , vegetarian , 
132.Basarabeanu Matei  ,  figuran ,  vampire , vegetarian , 
132.Bordea Diana  ,  figuran ,  werewolf , flexitarian , 
132.Botnaru Alexie  ,  figuran ,  werewolf , flexitarian , 
132.Stanescu Petre  ,  figuran ,  werewolf , vegetarian , 
132.Bădărău Sebastian  ,  figuran ,  mermaid , anything , 
132.Brenduș Lidia  ,  figuran ,  werewolf , vegetarian , 
132.Botnari Ghita  ,  figuran ,  mermaid , vegetarian , 
132.Bîrloiu Diana  ,  figuran ,  seer , flexitarian , 
132.Antal Manuel  ,  figuran ,  mermaid , anything , 
132.Bodescu Ioana  ,  figuran ,  seer , anything , 
132.Brumaru Basarab  ,  figuran ,  mermaid , vegetarian , 
132.Baracci Marin  ,  figuran ,  human , flexitarian , 
132.Arnautu Bogdan  ,  figuran ,  vampire , vegetarian , 
132.Bazon Stefan  ,  figuran ,  werewolf , anything , 
132.Bozga Cristi  ,  figuran ,  mermaid , anything , 
132.Bolliac Gratiela  ,  figuran ,  werewolf , vegetarian , 
132.Bereș Andreas  ,  figuran ,  mermaid , flexitarian , 
132.Botean Oana  ,  figuran ,  mermaid , flexitarian , 
132.Brumaru Basarab  ,  figuran ,  werewolf , flexitarian , 
132.Bărboianu Liliana  ,  figuran ,  werewolf , flexitarian , 
132.Borăscu Anton  ,  figuran ,  mermaid , anything , 
132.Averescu  Brandusa  ,  figuran ,  vampire , anything , 
132.Brânzeu Stefan  ,  figuran ,  seer , anything , 
132.Andone Liviu  ,  figuran ,  werewolf , flexitarian , 
132.Bărbulescu Benedict  ,  figuran ,  human , vegetarian , 
132.Bujo Dida  ,  figuran ,  vampire , anything , 
132.Grigorescu George  ,  figuran ,  werewolf , anything , 
132.Anghelache Sorin  ,  figuran ,  werewolf , vegetarian , 
132.Florescu Gabriel  ,  figuran ,  vampire , anything , 
132.Bodescu Florentina  ,  figuran ,  human , anything , 
132.Bucurescu Basarab  ,  figuran ,  werewolf , anything , 
132.Bărbuceanu Nectarie  ,  figuran ,  mermaid , flexitarian , 
