Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
132.Bănulescu Stefan  ,  figuran ,  human , flexitarian , 
132.Bărboianu Grigore  ,  figuran ,  werewolf , anything , 
132.Bănică Ciprian  ,  figuran ,  vampire , anything , 
132.Adoc Cazimir  ,  figuran ,  vampire , flexitarian , 
132.Bîrlea George  ,  figuran ,  seer , vegetarian , 
132.Barbu Razvan  ,  figuran ,  werewolf , vegetarian , 
132.Alexa  Ileana  ,  figuran ,  werewolf , flexitarian , 
132.Avramescu Anisoara  ,  figuran ,  seer , flexitarian , 
132.Brediceanu Marin  ,  figuran ,  human , flexitarian , 
132.Bogos Amalia  ,  figuran ,  seer , anything , 
132.Alifantis Eugen  ,  figuran ,  mermaid , vegetarian , 
132.Argeșanu Andrei  ,  figuran ,  werewolf , anything , 
132.Adameșteanu Norbert  ,  figuran ,  human , vegetarian , 
132.Bordea Mihaela  ,  figuran ,  werewolf , anything , 
132.Botezan Gabriela  ,  figuran ,  human , vegetarian , 
132.Bacalbașa Emilian  ,  figuran ,  werewolf , vegetarian , 
132.Angelescu Cornel  ,  figuran ,  werewolf , anything , 
132.Baconsky Geta  ,  figuran ,  werewolf , flexitarian , 
132.Boștină Aurelia  ,  figuran ,  human , anything , 
132.Băsescu  Pavel  ,  figuran ,  human , anything , 
132.Băsescu  Alex  ,  figuran ,  werewolf , flexitarian , 
132.Bodnăraș Andreas  ,  figuran ,  human , anything , 
132.Valisescu Cristina  ,  figuran ,  seer , flexitarian , 
132.Bujo Cristina  ,  figuran ,  seer , anything , 
132.Banciu  Florina  ,  figuran ,  vampire , anything , 
132.Breban Benone  ,  figuran ,  werewolf , flexitarian , 
132.Brătianu Denisa  ,  figuran ,  mermaid , vegetarian , 
132.Almășan Toma  ,  figuran ,  vampire , anything , 
132.Bazon Gabriel  ,  figuran ,  seer , flexitarian , 
132.Baconsky Denis  ,  figuran ,  mermaid , anything , 
132.Brănescu Camelia  ,  figuran ,  vampire , flexitarian , 
132.Arnăutu Dragos  ,  figuran ,  mermaid , anything , 
132.Brateș Luca  ,  figuran ,  human , anything , 
132.Bălan Laurentiu  ,  figuran ,  mermaid , vegetarian , 
132.Botnari Gelu  ,  figuran ,  human , anything , 
132.Basarabeanu Daniel  ,  figuran ,  mermaid , flexitarian , 
132.Baconschi Felicia  ,  figuran ,  human , anything , 
132.Băloșescu Calin  ,  figuran ,  seer , flexitarian , 
132.Baconsky Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Valisescu Mihai  ,  figuran ,  vampire , anything , 
132.Bârsănescu Andrei  ,  figuran ,  human , flexitarian , 
132.Borcea Adelin  ,  figuran ,  vampire , vegetarian , 
132.Bârcă Amalia  ,  figuran ,  werewolf , flexitarian , 
132.Negoita Geta  ,  figuran ,  human , vegetarian , 
132.Brănescu Liliana  ,  figuran ,  mermaid , flexitarian , 
132.Adamescu Ion  ,  figuran ,  seer , anything , 
132.Bârcă Filoftea  ,  figuran ,  vampire , vegetarian , 
132.Bărboianu Daniel  ,  figuran ,  human , flexitarian , 
132.Balauru Manuel  ,  figuran ,  vampire , anything , 
132.Balanici Andrei  ,  figuran ,  human , flexitarian , 
132.Angelescu Barbu  ,  figuran ,  human , anything , 
132.Buhagiar Razvan  ,  figuran ,  werewolf , vegetarian , 
132.Brașoveanu Iurie  ,  figuran ,  mermaid , flexitarian , 
132.Bentoiu Daniel  ,  figuran ,  werewolf , flexitarian , 
132.Bozga Gratiela  ,  figuran ,  mermaid , vegetarian , 
132.Bogos Aurelia  ,  figuran ,  werewolf , anything , 
132.Bujo Aurelia  ,  figuran ,  mermaid , vegetarian , 
132.Băloșescu Luminita  ,  figuran ,  mermaid , anything , 
132.Agîrbiceanu Aurelia  ,  figuran ,  mermaid , anything , 
132.Basarabeanu Nicolae  ,  figuran ,  seer , anything , 
132.Apostol Ana  ,  figuran ,  werewolf , anything , 
132.Bădărău Lazar  ,  figuran ,  vampire , flexitarian , 
132.Avramescu Cezar  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Marian  ,  figuran ,  werewolf , flexitarian , 
132.Adameșteanu Filip  ,  figuran ,  mermaid , vegetarian , 
132.Bibescu Emilian  ,  figuran ,  werewolf , vegetarian , 
132.Bozgă Vasile  ,  figuran ,  werewolf , vegetarian , 
132.Angelescu Benone  ,  figuran ,  human , flexitarian , 
132.Adamache Emilian  ,  figuran ,  mermaid , flexitarian , 
132.Arnăutu Matei  ,  figuran ,  human , flexitarian , 
132.Antal Luca  ,  figuran ,  vampire , flexitarian , 
132.Bega  Gelu  ,  figuran ,  mermaid , flexitarian , 
132.Brediceanu Aurelia  ,  figuran ,  human , vegetarian , 
132.Bădulescu Diana  ,  figuran ,  mermaid , flexitarian , 
132.Brănescu Emilian  ,  figuran ,  human , flexitarian , 
132.Berindei  Anca  ,  figuran ,  mermaid , vegetarian , 
132.Brânzeu Alexie  ,  figuran ,  mermaid , flexitarian , 
132.Bătrîneanu Andreea  ,  figuran ,  human , vegetarian , 
132.Antonescu Mihai  ,  figuran ,  human , flexitarian , 
132.Athanasiu Felicia  ,  figuran ,  mermaid , flexitarian , 
132.Brediceanu Florina  ,  figuran ,  vampire , anything , 
132.Argetoianu Norbert  ,  figuran ,  mermaid , anything , 
132.Baciu Anisoara  ,  figuran ,  vampire , vegetarian , 
132.Botezan Teodosie  ,  figuran ,  werewolf , anything , 
132.Grigorescu Flavia  ,  figuran ,  vampire , flexitarian , 
132.Berindei  Felicia  ,  figuran ,  vampire , flexitarian , 
132.Anghel Leon  ,  figuran ,  human , anything , 
132.Botnaru Paul  ,  figuran ,  vampire , anything , 
132.Athanasiu Augustina  ,  figuran ,  human , flexitarian , 
132.Bozga Ana  ,  figuran ,  seer , flexitarian , 
132.Botezan Ilarie  ,  figuran ,  human , vegetarian , 
132.Bercea Anisoara  ,  figuran ,  vampire , anything , 
132.Breban Vasile  ,  figuran ,  seer , flexitarian , 
132.Apostol Laurentiu  ,  figuran ,  werewolf , vegetarian , 
132.Brătescu Anica  ,  figuran ,  mermaid , flexitarian , 
132.Alexi Adelin  ,  figuran ,  mermaid , vegetarian , 
132.Ardelean Cezar  ,  figuran ,  vampire , anything , 
132.Anghelescu Maria  ,  figuran ,  seer , anything , 
132.Bejenaru Liviu  ,  figuran ,  seer , anything , 
132.Blaga  Pavel  ,  figuran ,  mermaid , flexitarian , 
132.Basarabeanu Ioan  ,  figuran ,  werewolf , anything , 
132.Antonescu Constanta  ,  figuran ,  seer , anything , 
132.Bichineț Bujor  ,  figuran ,  mermaid , vegetarian , 
132.Antal Adrian  ,  figuran ,  vampire , flexitarian , 
132.Budeanu Mariana  ,  figuran ,  werewolf , vegetarian , 
132.Băsescu  Grigore  ,  figuran ,  human , vegetarian , 
132.Brediceanu Cornel  ,  figuran ,  vampire , anything , 
132.Botnari Cecilia  ,  figuran ,  human , anything , 
132.Adameșteanu Denisa  ,  figuran ,  mermaid , anything , 
132.Athanasiu Luiza  ,  figuran ,  vampire , anything , 
132.Athanasiu Liviu  ,  figuran ,  seer , anything , 
132.Bălțat Diana  ,  figuran ,  werewolf , anything , 
132.Ardelean Martin  ,  figuran ,  vampire , flexitarian , 
132.Brătianu Felix  ,  figuran ,  human , anything , 
132.Valisescu Petre  ,  figuran ,  seer , anything , 
132.Brânzeu Leon  ,  figuran ,  seer , vegetarian , 
132.Popescu Lazar  ,  figuran ,  vampire , anything , 
132.Berghianu Laur  ,  figuran ,  mermaid , anything , 
132.Brânzan Anghel  ,  figuran ,  human , flexitarian , 
132.Bălăceanu Cosmin  ,  figuran ,  werewolf , flexitarian , 
132.Arnăuțoiu Luca  ,  figuran ,  vampire , anything , 
132.Budeanu Oana  ,  figuran ,  mermaid , vegetarian , 
132.Brâncoveanu  Eduard  ,  figuran ,  mermaid , vegetarian , 
132.Baghiu Anisoara  ,  figuran ,  human , anything , 
132.Anghelescu David  ,  figuran ,  seer , flexitarian , 
132.Antonescu Constantin  ,  figuran ,  human , vegetarian , 
132.Brașoveanu Antonia  ,  figuran ,  seer , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  seer , vegetarian , 
132.Bibescu Arsenie  ,  figuran ,  werewolf , flexitarian , 
132.Bizău Elena  ,  figuran ,  vampire , flexitarian , 
132.Alexandrescu Norbert  ,  figuran ,  seer , vegetarian , 
132.Averescu  Dionisie  ,  figuran ,  seer , anything , 
132.Baconsky Laurentiu  ,  figuran ,  seer , vegetarian , 
132.Aldulescu Craciun  ,  figuran ,  werewolf , anything , 
132.Apetrei Irina  ,  figuran ,  human , flexitarian , 
132.Balanici Dan  ,  figuran ,  vampire , flexitarian , 
132.Amânar Stefan  ,  figuran ,  vampire , flexitarian , 
132.Bănățeanu Aniela  ,  figuran ,  seer , vegetarian , 
132.Angelescu Barbu  ,  figuran ,  werewolf , anything , 
132.Arnăutu Sorina  ,  figuran ,  werewolf , flexitarian , 
132.Antoci Dimitrie  ,  figuran ,  human , flexitarian , 
132.Dumitrescu Ileana  ,  figuran ,  werewolf , anything , 
132.Beclean  Filoftea  ,  figuran ,  human , anything , 
132.Brînzan Felicia  ,  figuran ,  human , vegetarian , 
132.Broșteanu Calin  ,  figuran ,  vampire , vegetarian , 
132.Baconschi Laurentiu  ,  figuran ,  mermaid , anything , 
132.Brătianu Adelin  ,  figuran ,  human , anything , 
132.Bădulescu Denisa  ,  figuran ,  seer , anything , 
132.Baconsky Anghel  ,  figuran ,  werewolf , anything , 
132.Braghiș Anghel  ,  figuran ,  mermaid , flexitarian , 
132.Bodnăraș Cosmin  ,  figuran ,  mermaid , flexitarian , 
132.Bozgă Raluca  ,  figuran ,  werewolf , vegetarian , 
132.Bibescu George  ,  figuran ,  human , flexitarian , 
132.Armășescu Eduard  ,  figuran ,  human , vegetarian , 
132.Bosînceanu Ciprian  ,  figuran ,  seer , anything , 
132.Bujo Anton  ,  figuran ,  werewolf , flexitarian , 
132.Barzin Iosif  ,  figuran ,  mermaid , vegetarian , 
132.Boteanu Costel  ,  figuran ,  vampire , flexitarian , 
132.Brânzeu David  ,  figuran ,  mermaid , vegetarian , 
132.Florescu Sebastian  ,  figuran ,  human , vegetarian , 
132.Bodnăraș Lidia  ,  figuran ,  vampire , anything , 
132.Baracci Gheorghe  ,  figuran ,  vampire , flexitarian , 
132.Bănică Iosif  ,  figuran ,  mermaid , anything , 
132.Becali Ionuț  ,  figuran ,  human , flexitarian , 
132.Bodiul Ilie  ,  figuran ,  mermaid , flexitarian , 
132.Bosînceanu Dochia  ,  figuran ,  seer , flexitarian , 
132.Georgescu Benone  ,  figuran ,  seer , flexitarian , 
132.Bodiul Matei  ,  figuran ,  werewolf , vegetarian , 
132.Apostoleanu Constanta  ,  figuran ,  human , vegetarian , 
132.Armășescu Fanurie  ,  figuran ,  mermaid , flexitarian , 
132.Buhuș Pavel  ,  figuran ,  seer , anything , 
132.Balanici Benone  ,  figuran ,  mermaid , flexitarian , 
132.Bercu David  ,  figuran ,  werewolf , anything , 
132.Armășescu Lucretiu  ,  figuran ,  werewolf , flexitarian , 
132.Asachi Aurica  ,  figuran ,  vampire , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  seer , anything , 
132.Albulescu Anca  ,  figuran ,  werewolf , anything , 
132.Baconski  Ileana  ,  figuran ,  human , anything , 
132.Baconsky Iustin  ,  figuran ,  werewolf , vegetarian , 
132.Adameșteanu Denis  ,  figuran ,  seer , anything , 
132.Bîrloiu Marius  ,  figuran ,  seer , anything , 
132.Băsescu  Apostol  ,  figuran ,  seer , anything , 
132.Braghiș Adam  ,  figuran ,  vampire , vegetarian , 
132.Botnaru Alex  ,  figuran ,  werewolf , anything , 
132.Buhuș Gratiela  ,  figuran ,  werewolf , vegetarian , 
132.Bârloiu Magdalena  ,  figuran ,  seer , flexitarian , 
132.Bordea Anisoara  ,  figuran ,  human , vegetarian , 
132.Almășan Teodor  ,  figuran ,  human , flexitarian , 
132.Barcianu  Decebal  ,  figuran ,  seer , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  human , anything , 
132.Bărbuceanu Aurica  ,  figuran ,  vampire , anything , 
132.Bălănescu Doina  ,  figuran ,  human , flexitarian , 
132.Almaș Bujor  ,  figuran ,  vampire , flexitarian , 
132.Bătrîneanu Petre  ,  figuran ,  mermaid , vegetarian , 
132.Barzin Angelica  ,  figuran ,  werewolf , vegetarian , 
132.Belimace Aniela  ,  figuran ,  vampire , vegetarian , 
132.Bozga Matei  ,  figuran ,  vampire , flexitarian , 
132.Asachi Dochia  ,  figuran ,  mermaid , anything , 
132.Bozga Georgeta  ,  figuran ,  werewolf , anything , 
132.Bănulescu Bujor  ,  figuran ,  seer , vegetarian , 
132.Brudașcu Oscar  ,  figuran ,  mermaid , anything , 
132.Bărboianu Geanina  ,  figuran ,  vampire , anything , 
132.Bârlădeanu Luchian  ,  figuran ,  vampire , anything , 
132.Bârloiu Decebal  ,  figuran ,  vampire , flexitarian , 
132.Borăscu Andreea  ,  figuran ,  mermaid , anything , 
132.Băsescu  Ioachim  ,  figuran ,  seer , anything , 
132.Botnari Valeriu  ,  figuran ,  human , anything , 
132.Andronic Dumitru  ,  figuran ,  human , flexitarian , 
132.Bîrloiu Sebastian  ,  figuran ,  werewolf , vegetarian , 
132.Andreoiu Adrian  ,  figuran ,  vampire , vegetarian , 
132.Bizău Gabriela  ,  figuran ,  werewolf , anything , 
132.Albulescu Benone  ,  figuran ,  human , vegetarian , 
132.Bădărău Eugenia  ,  figuran ,  human , flexitarian , 
132.Bratu Dumitru  ,  figuran ,  mermaid , flexitarian , 
132.Apostu Valeriu  ,  figuran ,  seer , vegetarian , 
132.Bîrloiu Andreea  ,  figuran ,  vampire , anything , 
132.Ionescu Gabriel  ,  figuran ,  werewolf , vegetarian , 
132.Argeșanu Gheorghe  ,  figuran ,  human , flexitarian , 
132.Barbu Amalia  ,  figuran ,  werewolf , anything , 
132.Buhagiar Costel  ,  figuran ,  vampire , vegetarian , 
132.Ardeleanu David  ,  figuran ,  mermaid , anything , 
132.Bozgă Cristofor  ,  figuran ,  werewolf , anything , 
132.Athanasiu Teodosie  ,  figuran ,  seer , vegetarian , 
132.Bonciu Dan  ,  figuran ,  vampire , flexitarian , 
132.Alexa  Adrian  ,  figuran ,  werewolf , vegetarian , 
132.Brezeanu Valentin  ,  figuran ,  mermaid , vegetarian , 
132.Bănică Gratiela  ,  figuran ,  werewolf , vegetarian , 
132.Negoita Zahari  ,  figuran ,  human , vegetarian , 
132.Aman Ionuț  ,  figuran ,  mermaid , vegetarian , 
132.Grigorescu Sorina  ,  figuran ,  seer , vegetarian , 
132.Buhuș Florica  ,  figuran ,  werewolf , flexitarian , 
132.Bujo Anisoara  ,  figuran ,  mermaid , vegetarian , 
132.Bechet  Madalin  ,  figuran ,  vampire , flexitarian , 
132.Brâncuși  Laur  ,  figuran ,  mermaid , flexitarian , 
132.Balanici Ilarie  ,  figuran ,  mermaid , vegetarian , 
132.Athanasiu Grigore  ,  figuran ,  mermaid , vegetarian , 
132.Agaparian Manole  ,  figuran ,  werewolf , anything , 
132.Alexe Anica  ,  figuran ,  human , vegetarian , 
132.Băsescu  Anca  ,  figuran ,  mermaid , vegetarian , 
132.Alexe Flavia  ,  figuran ,  seer , flexitarian , 
132.Andronic Lucretiu  ,  figuran ,  seer , anything , 
132.Brătescu Eusebiu  ,  figuran ,  werewolf , flexitarian , 
132.Boteanu Damian  ,  figuran ,  mermaid , flexitarian , 
132.Almășan Benjamin  ,  figuran ,  werewolf , anything , 
132.Băsescu  Matei  ,  figuran ,  vampire , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  mermaid , anything , 
132.Argeșanu Brandusa  ,  figuran ,  human , flexitarian , 
132.Brătescu Anisoara  ,  figuran ,  mermaid , flexitarian , 
132.Anghelache Camelia  ,  figuran ,  seer , anything , 
132.Brumaru Martin  ,  figuran ,  vampire , anything , 
132.Popescu Iurie  ,  figuran ,  mermaid , vegetarian , 
132.Andronic Laur  ,  figuran ,  vampire , vegetarian , 
132.Aldulescu Aniela  ,  figuran ,  human , anything , 
132.Antoci Ancuta  ,  figuran ,  seer , vegetarian , 
132.Bega  Anisoara  ,  figuran ,  werewolf , anything , 
132.Bălan Anghel  ,  figuran ,  vampire , vegetarian , 
132.Aldulescu Spiridon  ,  figuran ,  vampire , anything , 
132.Botezan Vasile  ,  figuran ,  human , flexitarian , 
132.Breban Angelica  ,  figuran ,  human , anything , 
132.Apostoleanu Benone  ,  figuran ,  vampire , flexitarian , 
132.Basarabeanu Denis  ,  figuran ,  mermaid , anything , 
132.Baconsky Ioana  ,  figuran ,  seer , flexitarian , 
132.Boteanu Basarab  ,  figuran ,  human , anything , 
132.Stanescu Ghita  ,  figuran ,  mermaid , vegetarian , 
132.Adamache Efrem  ,  figuran ,  werewolf , anything , 
132.Bîrloiu Apostol  ,  figuran ,  human , vegetarian , 
132.Apostoleanu Anton  ,  figuran ,  seer , anything , 
132.Brateș Felix  ,  figuran ,  seer , vegetarian , 
132.Brenduș Filip  ,  figuran ,  human , anything , 
132.Băloșescu Cazimir  ,  figuran ,  seer , flexitarian , 
132.Aman Augustina  ,  figuran ,  werewolf , flexitarian , 
132.Besoiu Cecilia  ,  figuran ,  mermaid , vegetarian , 
132.Botezan Alin  ,  figuran ,  vampire , flexitarian , 
132.Bechet  Bartolomeu  ,  figuran ,  seer , flexitarian , 
132.Alifantis Dan  ,  figuran ,  human , anything , 
132.Bazon Stefan  ,  figuran ,  vampire , anything , 
132.Brateș Adam  ,  figuran ,  vampire , anything , 
132.Almășan Aurora  ,  figuran ,  mermaid , anything , 
132.Andreoiu Andreea  ,  figuran ,  mermaid , flexitarian , 
132.Brediceanu Gheorghe  ,  figuran ,  human , anything , 
132.Botnaru Anca  ,  figuran ,  werewolf , anything , 
132.Popescu Ioachim  ,  figuran ,  human , anything , 
132.Brânzeu Doina  ,  figuran ,  werewolf , flexitarian , 
132.Bârloiu Ciprian  ,  figuran ,  vampire , anything , 
132.Bizău Laur  ,  figuran ,  werewolf , flexitarian , 
132.Berghianu Dionisie  ,  figuran ,  human , vegetarian , 
132.Bănică Mariana  ,  figuran ,  vampire , flexitarian , 
132.Bătrâneanu Lacramioara  ,  figuran ,  human , flexitarian , 
132.Basarabeanu Oscar  ,  figuran ,  mermaid , anything , 
132.Avramescu Anton  ,  figuran ,  seer , flexitarian , 
132.Arnautu Camil  ,  figuran ,  human , vegetarian , 
132.Alexandrescu Martin  ,  figuran ,  human , anything , 
132.Alexi Fanurie  ,  figuran ,  human , anything , 
132.Bârlădeanu Dionisie  ,  figuran ,  mermaid , vegetarian , 
132.Bodiu Loredana  ,  figuran ,  seer , flexitarian , 
132.Ardeleanu Andrei  ,  figuran ,  seer , vegetarian , 
132.Banciu  Irina  ,  figuran ,  vampire , flexitarian , 
132.Berghianu Stefan  ,  figuran ,  werewolf , anything , 
132.Brateș Leon  ,  figuran ,  werewolf , anything , 
132.Bănulescu Mihail  ,  figuran ,  human , flexitarian , 
132.Bosânceanu Liviu  ,  figuran ,  mermaid , anything , 
132.Bărboianu Vasile  ,  figuran ,  mermaid , flexitarian , 
132.Bozgă Lucretiu  ,  figuran ,  human , flexitarian , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  human , flexitarian , 
132.Botean Emilian  ,  figuran ,  seer , flexitarian , 
132.Bodescu Laura  ,  figuran ,  mermaid , anything , 
132.Bălțat Liviu  ,  figuran ,  werewolf , flexitarian , 
132.Buhagiar Maria  ,  figuran ,  human , flexitarian , 
132.Budescu Geta  ,  figuran ,  human , vegetarian , 
132.Argeșanu Ion  ,  figuran ,  seer , vegetarian , 
132.Badea Cosmin  ,  figuran ,  mermaid , anything , 
132.Begu Adriana  ,  figuran ,  seer , flexitarian , 
132.Angelescu Eugen  ,  figuran ,  werewolf , flexitarian , 
132.Bârcă Petre  ,  figuran ,  werewolf , vegetarian , 
132.Albulescu Anisoara  ,  figuran ,  seer , flexitarian , 
132.Bichineț Denisa  ,  figuran ,  human , vegetarian , 
132.Borcea Razvan  ,  figuran ,  werewolf , anything , 
132.Botezan Efrem  ,  figuran ,  human , flexitarian , 
132.Barzin Adam  ,  figuran ,  mermaid , vegetarian , 
132.Bengescu Benjamin  ,  figuran ,  werewolf , vegetarian , 
132.Bătrîneanu Mihai  ,  figuran ,  mermaid , anything , 
132.Bosânceanu Aurelia  ,  figuran ,  vampire , flexitarian , 
132.Bănulescu Cristina  ,  figuran ,  vampire , vegetarian , 
132.Brediceanu Gratiela  ,  figuran ,  vampire , vegetarian , 
132.Bereș Filoftea  ,  figuran ,  vampire , flexitarian , 
132.Bărbuceanu Mariana  ,  figuran ,  vampire , vegetarian , 
132.Agârbiceanu Teodosie  ,  figuran ,  seer , flexitarian , 
132.Brânzeu Lucretia  ,  figuran ,  vampire , flexitarian , 
132.Bodescu Mariana  ,  figuran ,  werewolf , vegetarian , 
132.Adoc Dionisie  ,  figuran ,  human , flexitarian , 
132.Bujo Augustina  ,  figuran ,  werewolf , vegetarian , 
132.Bogza Pavel  ,  figuran ,  seer , vegetarian , 
132.Armășescu Basarab  ,  figuran ,  human , vegetarian , 
132.Bodescu Laura  ,  figuran ,  vampire , vegetarian , 
132.Brâncuși  Dochia  ,  figuran ,  mermaid , anything , 
132.Aman Iacob  ,  figuran ,  werewolf , anything , 
132.Adamache Ionuț  ,  figuran ,  werewolf , flexitarian , 
132.Borcea Loredana  ,  figuran ,  human , flexitarian , 
132.Adamache Ruxandra  ,  figuran ,  vampire , flexitarian , 
132.Arnăutu Nicolai  ,  figuran ,  seer , anything , 
132.Antoci Grigore  ,  figuran ,  mermaid , vegetarian , 
132.Boroianu Aurelia  ,  figuran ,  vampire , flexitarian , 
132.Bârlădeanu Stefan  ,  figuran ,  human , vegetarian , 
132.Dumitrescu Pavel  ,  figuran ,  werewolf , anything , 
132.Baconski  Dimitrie  ,  figuran ,  mermaid , anything , 
132.Boștină Vladimir  ,  figuran ,  werewolf , vegetarian , 
132.Bălănescu Mariana  ,  figuran ,  werewolf , vegetarian , 
132.Barbu Ileana  ,  figuran ,  human , anything , 
132.Bordea Andrei  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Benedict  ,  figuran ,  werewolf , vegetarian , 
132.Breban Damian  ,  figuran ,  mermaid , anything , 
132.Bărboianu Loredana  ,  figuran ,  werewolf , anything , 
132.Barcianu  Georgeta  ,  figuran ,  mermaid , anything , 
132.Andone Luciana  ,  figuran ,  vampire , flexitarian , 
132.Brumaru Lazar  ,  figuran ,  werewolf , vegetarian , 
132.Budescu Liliana  ,  figuran ,  human , anything , 
132.Bercea Doru  ,  figuran ,  vampire , flexitarian , 
132.Brânzeu Luminita  ,  figuran ,  vampire , vegetarian , 
132.Adamescu Manuel  ,  figuran ,  human , anything , 
132.Aman Anica  ,  figuran ,  human , anything , 
132.Bercu Lucretiu  ,  figuran ,  human , vegetarian , 
132.Barbu Horia  ,  figuran ,  mermaid , vegetarian , 
132.Andone Manuela  ,  figuran ,  werewolf , vegetarian , 
132.Balanici Norbert  ,  figuran ,  vampire , flexitarian , 
132.Bârloiu Emilian  ,  figuran ,  mermaid , flexitarian , 
132.Arnautu Ciprian  ,  figuran ,  werewolf , vegetarian , 
132.Bereș Nicolae  ,  figuran ,  mermaid , flexitarian , 
132.Baghiu Serban  ,  figuran ,  werewolf , vegetarian , 
132.Valisescu Dimitrie  ,  figuran ,  seer , anything , 
132.Baicu Leon  ,  figuran ,  vampire , vegetarian , 
132.Agârbiceanu Cornel  ,  figuran ,  mermaid , vegetarian , 
132.Brâncoveanu  Benedict  ,  figuran ,  werewolf , vegetarian , 
132.Boteanu Carmen  ,  figuran ,  vampire , anything , 
132.Budeanu Stefan  ,  figuran ,  seer , anything , 
132.Argetoianu Eduard  ,  figuran ,  seer , flexitarian , 
132.Berindei  Augustina  ,  figuran ,  human , anything , 
132.Bosânceanu Andreea  ,  figuran ,  vampire , anything , 
132.Botnaru Teodor  ,  figuran ,  vampire , anything , 
132.Bănică Teodosie  ,  figuran ,  vampire , anything , 
132.Becșenescu Magdalena  ,  figuran ,  vampire , anything , 
132.Blaga  Leon  ,  figuran ,  human , vegetarian , 
132.Badea Ilie  ,  figuran ,  vampire , vegetarian , 
132.Bizău Grigore  ,  figuran ,  mermaid , anything , 
132.Brateș Marian  ,  figuran ,  seer , flexitarian , 
132.Badea Eugen  ,  figuran ,  werewolf , flexitarian , 
132.Băloșescu Cristofor  ,  figuran ,  werewolf , flexitarian , 
132.Bacalbașa Lucretia  ,  figuran ,  werewolf , flexitarian , 
132.Antonescu Cristina  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Felicia  ,  figuran ,  werewolf , anything , 
132.Bădescu Matei  ,  figuran ,  mermaid , flexitarian , 
132.Bizău Cezar  ,  figuran ,  seer , anything , 
132.Brudașcu Alexie  ,  figuran ,  mermaid , vegetarian , 
132.Brătescu Marilena  ,  figuran ,  mermaid , anything , 
132.Boteanu Decebal  ,  figuran ,  vampire , vegetarian , 
132.Negoita Ion  ,  figuran ,  mermaid , anything , 
132.Buhagiar Zahari  ,  figuran ,  werewolf , flexitarian , 
132.Budescu Antoaneta  ,  figuran ,  werewolf , flexitarian , 
132.Botezan Nicolae  ,  figuran ,  human , anything , 
132.Bărbuceanu Augustina  ,  figuran ,  vampire , anything , 
132.Albu  Doina  ,  figuran ,  human , anything , 
132.Berghianu Nicolai  ,  figuran ,  human , flexitarian , 
132.Bacalbașa Camelia  ,  figuran ,  mermaid , flexitarian , 
132.Andone Dimitrie  ,  figuran ,  vampire , flexitarian , 
132.Barzin Geta  ,  figuran ,  seer , anything , 
132.Bărbuceanu Lidia  ,  figuran ,  mermaid , flexitarian , 
132.Bălănescu Magdalena  ,  figuran ,  human , anything , 
132.Bucurescu Haralambie  ,  figuran ,  mermaid , anything , 
132.Alexandrescu Cristian  ,  figuran ,  vampire , flexitarian , 
132.Belimace Mihaela  ,  figuran ,  seer , anything , 
132.Brănescu Alin  ,  figuran ,  vampire , anything , 
132.Anton  Matei  ,  figuran ,  seer , anything , 
132.Albu  Luminita  ,  figuran ,  werewolf , flexitarian , 
132.Brânzeu Fanurie  ,  figuran ,  werewolf , vegetarian , 
132.Apostol Vladimir  ,  figuran ,  vampire , vegetarian , 
132.Buia Vitalie  ,  figuran ,  mermaid , flexitarian , 
132.Anghel Carmen  ,  figuran ,  human , vegetarian , 
132.Apostu Anca  ,  figuran ,  werewolf , anything , 
132.Bizău Fanurie  ,  figuran ,  seer , vegetarian , 
132.Botnaru Vitalie  ,  figuran ,  seer , anything , 
132.Baciu Cristina  ,  figuran ,  vampire , vegetarian , 
132.Boteanu Emil  ,  figuran ,  seer , anything , 
132.Brâncoveanu  Felix  ,  figuran ,  seer , flexitarian , 
132.Borăscu Stelian  ,  figuran ,  mermaid , anything , 
132.Budeanu Diana  ,  figuran ,  vampire , anything , 
132.Baicu Ioachim  ,  figuran ,  seer , vegetarian , 
132.Balauru Anton  ,  figuran ,  mermaid , anything , 
132.Bacalbașa David  ,  figuran ,  mermaid , anything , 
132.Brateș Andrei  ,  figuran ,  werewolf , flexitarian , 
132.Botnaru Damian  ,  figuran ,  seer , vegetarian , 
132.Apetrei Dan  ,  figuran ,  mermaid , vegetarian , 
132.Andone Dumitru  ,  figuran ,  vampire , anything , 
132.Bozga Barbu  ,  figuran ,  human , anything , 
132.Bădărău Stefan  ,  figuran ,  human , anything , 
132.Becali Laurentiu  ,  figuran ,  seer , vegetarian , 
132.Bănățeanu Ghita  ,  figuran ,  werewolf , flexitarian , 
132.Bazon Emil  ,  figuran ,  human , flexitarian , 
132.Barna Constanta  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Diana  ,  figuran ,  werewolf , anything , 
