Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
Marius Florescu   ,   covid supervisor (2 episodes 2022) ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Marilyn Lindsay   ,   prep accountant (2 episodes 2022) ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Rhidian Bridge   ,   covid supervisor (1 episode 2022) ,   human  , anything ,  flexitarian  , flexitarian ,   , anything , 
Bianca Bumvacea   ,   basecamp runner (1 episode 2022) ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
Luke Carroll   ,   production secretary: additional photography (1 episode 2022) ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , vegetarian , 
Ahmed El-Gallad   ,   writer (1 episode 2022) ,   werewolf  , vegetarian ,  anything  , vegetarian ,   , anything , 
Jorge Garcia Castro   ,   consultant (1 episode 2022) ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
Adam Lannon   ,   covid manager (1 episode 2022) ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , anything , 
Sarah McGuinness   ,   dialect coach: James Clay Caroline Lawrie (1 episode 2022) ,   human  , vegetarian ,  anything  , anything ,   , vegetarian , 
Annabel Wilkin   ,   first assistant accountant: UK (1 episode 2022) ,   vampire  , anything ,  vegetarian  , vegetarian ,   , anything , 
Eugene Shawn   ,   assistant (uncredited) (8 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
Ana Duarte   ,   assistant to casting director (uncredited) (1 episode 2022) ,   seer  , flexitarian ,  anything  , flexitarian ,   , anything , 
Isaac Sunderland   ,   covid coordinator (uncredited) (1 episode 2022) ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Botnaru Alexie   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , anything , 
132.Stanescu Petre   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bădărău Sebastian   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Brenduș Lidia   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Botnari Ghita   ,   figuran ,   seer  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Bîrloiu Diana   ,   figuran ,   werewolf  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Antal Manuel   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Bodescu Ioana   ,   figuran ,   vampire  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Brumaru Basarab   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Baracci Marin   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Arnautu Bogdan   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Bazon Stefan   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bozga Cristi   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bolliac Gratiela   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bereș Andreas   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , anything , 
132.Botean Oana   ,   figuran ,   human  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Brumaru Basarab   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bărboianu Liliana   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Borăscu Anton   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Averescu  Brandusa   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Brânzeu Stefan   ,   figuran ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Andone Liviu   ,   figuran ,   human  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bărbulescu Benedict   ,   figuran ,   human  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bujo Dida   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Grigorescu George   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Anghelache Sorin   ,   figuran ,   seer  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Florescu Gabriel   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Bodescu Florentina   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Bucurescu Basarab   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Bărbuceanu Nectarie   ,   figuran ,   human  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bănulescu Stefan   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Bărboianu Grigore   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Bănică Ciprian   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Adoc Cazimir   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Bîrlea George   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Barbu Razvan   ,   figuran ,   human  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Alexa  Ileana   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Avramescu Anisoara   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Brediceanu Marin   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bogos Amalia   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Alifantis Eugen   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Argeșanu Andrei   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Adameșteanu Norbert   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bordea Mihaela   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Botezan Gabriela   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , anything , 
132.Bacalbașa Emilian   ,   figuran ,   human  , anything ,  anything  , anything ,   , vegetarian , 
132.Angelescu Cornel   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Baconsky Geta   ,   figuran ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
132.Boștină Aurelia   ,   figuran ,   seer  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Băsescu  Pavel   ,   figuran ,   human  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Băsescu  Alex   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bodnăraș Andreas   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Valisescu Cristina   ,   figuran ,   werewolf  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Bujo Cristina   ,   figuran ,   human  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Banciu  Florina   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Breban Benone   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , vegetarian , 
132.Brătianu Denisa   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Almășan Toma   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bazon Gabriel   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Baconsky Denis   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Brănescu Camelia   ,   figuran ,   seer  , anything ,  anything  , anything ,   , anything , 
132.Arnăutu Dragos   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , anything , 
132.Brateș Luca   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bălan Laurentiu   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Botnari Gelu   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Basarabeanu Daniel   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Baconschi Felicia   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Băloșescu Calin   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Baconsky Gratiela   ,   figuran ,   mermaid  , anything ,  anything  , vegetarian ,   , anything , 
132.Valisescu Mihai   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bârsănescu Andrei   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Borcea Adelin   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , anything , 
132.Bârcă Amalia   ,   figuran ,   seer  , anything ,  anything  , anything ,   , anything , 
132.Negoita Geta   ,   figuran ,   werewolf  , anything ,  flexitarian  , anything ,   , anything , 
132.Brănescu Liliana   ,   figuran ,   seer  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Adamescu Ion   ,   figuran ,   werewolf  , anything ,  vegetarian  , anything ,   , anything , 
132.Bârcă Filoftea   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Bărboianu Daniel   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Balauru Manuel   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Balanici Andrei   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Angelescu Barbu   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Buhagiar Razvan   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Brașoveanu Iurie   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bentoiu Daniel   ,   figuran ,   vampire  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bozga Gratiela   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bogos Aurelia   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bujo Aurelia   ,   figuran ,   vampire  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Băloșescu Luminita   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Agîrbiceanu Aurelia   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , vegetarian , 
132.Basarabeanu Nicolae   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Apostol Ana   ,   figuran ,   mermaid  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bădărău Lazar   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Avramescu Cezar   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Boteanu Marian   ,   figuran ,   seer  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Adameșteanu Filip   ,   figuran ,   human  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bibescu Emilian   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Bozgă Vasile   ,   figuran ,   seer  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Angelescu Benone   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Adamache Emilian   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , anything , 
132.Arnăutu Matei   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , anything , 
132.Antal Luca   ,   figuran ,   mermaid  , anything ,  anything  , flexitarian ,   , flexitarian , 
132.Bega  Gelu   ,   figuran ,   human  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Brediceanu Aurelia   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Bădulescu Diana   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , flexitarian , 
132.Brănescu Emilian   ,   figuran ,   seer  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Berindei  Anca   ,   figuran ,   seer  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Brânzeu Alexie   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bătrîneanu Andreea   ,   figuran ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
132.Antonescu Mihai   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Athanasiu Felicia   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , anything , 
132.Brediceanu Florina   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Argetoianu Norbert   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Baciu Anisoara   ,   figuran ,   human  , anything ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Botezan Teodosie   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Grigorescu Flavia   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Berindei  Felicia   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Anghel Leon   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Botnaru Paul   ,   figuran ,   werewolf  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Athanasiu Augustina   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Bozga Ana   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Botezan Ilarie   ,   figuran ,   vampire  , vegetarian ,  anything  , vegetarian ,   , flexitarian , 
132.Bercea Anisoara   ,   figuran ,   werewolf  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Breban Vasile   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , anything , 
132.Apostol Laurentiu   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Brătescu Anica   ,   figuran ,   vampire  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Alexi Adelin   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Ardelean Cezar   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Anghelescu Maria   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , anything , 
132.Bejenaru Liviu   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Blaga  Pavel   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Basarabeanu Ioan   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , anything , 
132.Antonescu Constanta   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Bichineț Bujor   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Antal Adrian   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Budeanu Mariana   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Băsescu  Grigore   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Brediceanu Cornel   ,   figuran ,   werewolf  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Botnari Cecilia   ,   figuran ,   mermaid  , anything ,  vegetarian  , anything ,   , vegetarian , 
132.Adameșteanu Denisa   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Athanasiu Luiza   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Athanasiu Liviu   ,   figuran ,   werewolf  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Bălțat Diana   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Ardelean Martin   ,   figuran ,   mermaid  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Brătianu Felix   ,   figuran ,   vampire  , vegetarian ,  anything  , flexitarian ,   , flexitarian , 
132.Valisescu Petre   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Brânzeu Leon   ,   figuran ,   human  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
132.Popescu Lazar   ,   figuran ,   werewolf  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Berghianu Laur   ,   figuran ,   seer  , anything ,  anything  , anything ,   , flexitarian , 
132.Brânzan Anghel   ,   figuran ,   seer  , vegetarian ,  anything  , anything ,   , anything , 
132.Bălăceanu Cosmin   ,   figuran ,   human  , anything ,  flexitarian  , anything ,   , anything , 
132.Arnăuțoiu Luca   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Budeanu Oana   ,   figuran ,   seer  , anything ,  vegetarian  , anything ,   , anything , 
132.Brâncoveanu  Eduard   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Baghiu Anisoara   ,   figuran ,   human  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Anghelescu David   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Antonescu Constantin   ,   figuran ,   vampire  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Brașoveanu Antonia   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , anything ,   , anything , 
132.Andone Antoaneta   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , anything ,   , anything , 
132.Bibescu Arsenie   ,   figuran ,   human  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Bizău Elena   ,   figuran ,   vampire  , flexitarian ,  anything  , vegetarian ,   , flexitarian , 
132.Alexandrescu Norbert   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , anything , 
132.Averescu  Dionisie   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Baconsky Laurentiu   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Aldulescu Craciun   ,   figuran ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , anything , 
132.Apetrei Irina   ,   figuran ,   vampire  , anything ,  anything  , vegetarian ,   , vegetarian , 
132.Balanici Dan   ,   figuran ,   mermaid  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Amânar Stefan   ,   figuran ,   mermaid  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Bănățeanu Aniela   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Angelescu Barbu   ,   figuran ,   human  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Arnăutu Sorina   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , anything , 
132.Antoci Dimitrie   ,   figuran ,   vampire  , flexitarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Dumitrescu Ileana   ,   figuran ,   vampire  , anything ,  anything  , anything ,   , flexitarian , 
132.Beclean  Filoftea   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Brînzan Felicia   ,   figuran ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Broșteanu Calin   ,   figuran ,   vampire  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Baconschi Laurentiu   ,   figuran ,   seer  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Brătianu Adelin   ,   figuran ,   human  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bădulescu Denisa   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Baconsky Anghel   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Braghiș Anghel   ,   figuran ,   werewolf  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
132.Bodnăraș Cosmin   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bozgă Raluca   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bibescu George   ,   figuran ,   mermaid  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Armășescu Eduard   ,   figuran ,   human  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Bosînceanu Ciprian   ,   figuran ,   mermaid  , flexitarian ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Bujo Anton   ,   figuran ,   seer  , flexitarian ,  flexitarian  , anything ,   , vegetarian , 
132.Barzin Iosif   ,   figuran ,   werewolf  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Boteanu Costel   ,   figuran ,   mermaid  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Brânzeu David   ,   figuran ,   seer  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
132.Florescu Sebastian   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , anything , 
132.Bodnăraș Lidia   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , vegetarian , 
132.Baracci Gheorghe   ,   figuran ,   mermaid  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Bănică Iosif   ,   figuran ,   werewolf  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Becali Ionuț   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bodiul Ilie   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Bosînceanu Dochia   ,   figuran ,   mermaid  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
132.Georgescu Benone   ,   figuran ,   werewolf  , anything ,  anything  , anything ,   , anything , 
132.Bodiul Matei   ,   figuran ,   mermaid  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Apostoleanu Constanta   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Armășescu Fanurie   ,   figuran ,   vampire  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Buhuș Pavel   ,   figuran ,   werewolf  , anything ,  anything  , flexitarian ,   , vegetarian , 
132.Balanici Benone   ,   figuran ,   seer  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bercu David   ,   figuran ,   vampire  , vegetarian ,  flexitarian  , vegetarian ,   , vegetarian , 
132.Armășescu Lucretiu   ,   figuran ,   werewolf  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Asachi Aurica   ,   figuran ,   seer  , vegetarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Stanescu Cosmin   ,   figuran ,   seer  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Albulescu Anca   ,   figuran ,   werewolf  , anything ,  vegetarian  , vegetarian ,   , anything , 
132.Baconski  Ileana   ,   figuran ,   seer  , vegetarian ,  anything  , vegetarian ,   , anything , 
132.Baconsky Iustin   ,   figuran ,   vampire  , anything ,  flexitarian  , anything ,   , flexitarian , 
132.Adameșteanu Denis   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , anything ,   , vegetarian , 
132.Bîrloiu Marius   ,   figuran ,   mermaid  , flexitarian ,  anything  , flexitarian ,   , anything , 
132.Băsescu  Apostol   ,   figuran ,   mermaid  , flexitarian ,  anything  , vegetarian ,   , vegetarian , 
132.Braghiș Adam   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Botnaru Alex   ,   figuran ,   human  , anything ,  anything  , vegetarian ,   , flexitarian , 
132.Buhuș Gratiela   ,   figuran ,   seer  , vegetarian ,  vegetarian  , flexitarian ,   , flexitarian , 
132.Bârloiu Magdalena   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , anything , 
132.Bordea Anisoara   ,   figuran ,   werewolf  , anything ,  flexitarian  , vegetarian ,   , flexitarian , 
132.Almășan Teodor   ,   figuran ,   human  , vegetarian ,  vegetarian  , flexitarian ,   , vegetarian , 
132.Barcianu  Decebal   ,   figuran ,   human  , vegetarian ,  anything  , flexitarian ,   , vegetarian , 
132.Arnăutu Benedict   ,   figuran ,   human  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bărbuceanu Aurica   ,   figuran ,   seer  , vegetarian ,  vegetarian  , anything ,   , anything , 
132.Bălănescu Doina   ,   figuran ,   human  , vegetarian ,  anything  , anything ,   , vegetarian , 
132.Almaș Bujor   ,   figuran ,   seer  , flexitarian ,  flexitarian  , flexitarian ,   , flexitarian , 
132.Bătrîneanu Petre   ,   figuran ,   vampire  , vegetarian ,  anything  , anything ,   , anything , 
132.Barzin Angelica   ,   figuran ,   human  , vegetarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Belimace Aniela   ,   figuran ,   human  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Bozga Matei   ,   figuran ,   mermaid  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Asachi Dochia   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
132.Bozga Georgeta   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Bănulescu Bujor   ,   figuran ,   vampire  , vegetarian ,  vegetarian  , vegetarian ,   , vegetarian , 
132.Brudașcu Oscar   ,   figuran ,   seer  , flexitarian ,  anything  , flexitarian ,   , flexitarian , 
132.Bărboianu Geanina   ,   figuran ,   vampire  , flexitarian ,  vegetarian  , vegetarian ,   , flexitarian , 
132.Bârlădeanu Luchian   ,   figuran ,   seer  , anything ,  flexitarian  , anything ,   , vegetarian , 
132.Bârloiu Decebal   ,   figuran ,   seer  , anything ,  flexitarian  , flexitarian ,   , anything , 
132.Borăscu Andreea   ,   figuran ,   human  , flexitarian ,  anything  , anything ,   , vegetarian , 
132.Băsescu  Ioachim   ,   figuran ,   seer  , flexitarian ,  anything  , anything ,   , flexitarian , 
132.Botnari Valeriu   ,   figuran ,   werewolf  , flexitarian ,  flexitarian  , anything ,   , flexitarian , 
132.Andronic Dumitru   ,   figuran ,   vampire  , anything ,  vegetarian  , anything ,   , flexitarian , 
132.Bîrloiu Sebastian   ,   figuran ,   human  , anything ,  vegetarian  , anything ,   , anything , 
132.Andreoiu Adrian   ,   figuran ,   seer  , anything ,  vegetarian  , flexitarian ,   , anything , 
132.Bizău Gabriela   ,   figuran ,   seer  , vegetarian ,  flexitarian  , vegetarian ,   , anything , 
